Select Printer,Printer Requested,Material 1 Qty,User Type,Material 1,Printed On,Print Time (Hours),Material_Category1
20,0,420.82,1,0,0,14,0
35,0,55.0,1,8,0,2,3
24,0,97.0,1,8,0,3,3
23,0,274.64,1,8,0,9,3
43,0,36.5,1,8,0,1,3
34,0,58.12,2,8,0,2,3
26,0,129.1,2,8,0,3,3
27,0,67.79,2,8,0,2,3
27,0,67.79,2,8,0,2,3
21,0,59.0,2,8,0,2,3
34,0,14.49,2,8,0,1,3
24,0,25.2,2,8,0,1,3
29,0,0.0,2,8,0,2,3
29,0,0.0,2,8,0,2,3
43,0,114.89,2,8,0,4,3
20,0,33.72,1,8,0,1,3
24,0,104.0,2,8,0,3,3
2,0,124.66,2,8,0,5,3
21,0,1.0,2,30,6,5,2
21,0,1.0,2,8,0,1,3
26,0,0.0,1,24,1,1,4
21,0,1.0,2,8,0,1,3
2,0,32.0,1,5,0,32,0
19,0,132.0,1,8,0,32,3
35,0,429.57,2,8,0,9,3
25,0,11.26,1,8,0,1,3
35,0,700.0,2,8,0,29,3
29,0,19.25,2,8,0,1,3
18,0,24.85,2,4,0,1,0
35,0,9.58,2,8,0,1,3
1,0,177.44,2,6,0,7,0
1,0,1.0,2,8,0,1,3
24,0,7.8,1,8,0,1,3
24,0,2.84,2,8,0,1,3
26,0,27.98,2,8,0,2,3
21,0,36.95,1,8,0,4,3
34,0,25.43,1,8,0,3,3
3,0,14.5,0,8,0,2,3
18,0,15.0,0,8,0,1,3
32,4,50.964,2,28,4,42,0
25,0,19.0,2,8,0,1,3
26,0,20.66,2,8,0,1,3
25,0,5.0,2,0,0,1,0
26,0,17.61,0,8,0,1,3
26,0,13.56,0,8,0,1,3
26,0,17.61,0,8,0,1,3
24,0,68.84,2,7,0,2,3
23,0,9.46,2,8,0,1,3
3,0,1.0,2,8,0,34,3
21,0,10.76,0,8,0,1,3
21,0,4.4,0,8,0,1,3
3,0,16.5,0,8,0,2,3
25,0,0.0,2,8,0,1,3
24,0,1.0,2,8,0,1,3
18,0,1.0,2,8,0,1,3
23,0,1.0,2,8,0,1,3
24,0,0.0,2,8,0,1,3
3,0,0.0,2,8,0,1,3
31,0,27.9,2,9,0,2,3
18,0,12.0,2,8,0,12,3
3,0,1.0,2,8,0,1,3
34,0,25.0,2,8,0,1,3
26,0,119.57,2,8,0,2,3
43,0,30.0,2,8,0,1,3
30,0,421.37,2,8,0,8,3
18,0,0.0,2,4,0,3,0
3,0,2.0,1,8,0,2,3
27,0,17.51,2,8,0,1,3
29,0,6.24,2,8,0,1,3
2,0,181.8,2,8,0,4,3
25,0,48.21,2,0,0,2,0
25,0,48.21,2,0,0,2,0
21,0,3.94,2,8,0,1,3
20,0,72.94,2,0,0,2,0
28,0,821.88,2,8,0,17,3
18,0,66.15,1,4,0,2,0
20,0,21.7,1,8,0,1,3
2,0,21.0,1,8,0,1,3
43,0,1.0,1,8,0,1,3
18,0,17.0,1,8,0,1,3
23,0,0.0,2,8,0,1,3
26,0,1.38,2,8,0,1,3
2,0,9.59,2,8,0,1,3
3,0,12.76,2,8,0,1,3
35,0,185.1,2,8,0,7,3
21,0,4.37,2,8,0,1,3
29,0,137.45,2,8,0,3,3
26,0,35.57,2,8,0,2,3
3,0,0.0,2,8,0,1,3
22,3,33.59,2,25,3,8,1
35,0,20.0,2,8,0,1,3
20,0,68.38,2,0,0,6,0
20,0,68.0,2,0,0,6,0
20,0,51.0,2,0,0,2,0
21,0,23.41,2,8,0,3,3
0,0,371.79,2,10,0,9,0
17,2,0.14,2,26,2,12,1
35,0,77.96,2,8,0,2,3
21,0,0.0,2,8,0,1,3
28,0,55.01,2,8,0,2,3
2,0,5.14,2,8,0,1,3
21,0,34.61,2,8,0,1,3
35,0,8.47,2,8,0,1,3
29,0,34.27,2,8,0,1,3
40,5,61.0,2,29,5,1,3
39,5,0.0,0,29,5,24,3
10,1,41.81,1,12,1,16,0
24,0,1.65,0,8,0,2,3
29,0,8.19,2,8,0,1,3
27,0,558.6,2,8,0,11,3
35,0,7.95,2,8,0,1,3
29,0,29.79,2,8,0,1,3
20,0,9.2,0,0,0,1,0
24,0,0.0,2,8,0,1,3
43,0,170.81,2,8,0,1,3
13,1,73.62,2,16,1,3,0
40,5,15.6,2,29,5,1,3
40,5,3.0,2,29,5,1,3
39,5,7.0,2,29,5,1,3
40,5,8.0,2,29,5,1,3
39,5,4.0,2,29,5,1,3
19,0,350.0,2,8,0,7,3
40,5,15.6,2,29,5,1,3
23,0,27.15,2,8,0,1,3
19,0,32.67,2,8,0,2,3
19,0,32.67,2,8,0,2,3
19,0,9.41,2,8,0,1,3
17,2,160.0,1,26,2,2,1
17,2,10.0,1,26,2,1,1
25,0,40.17,2,8,0,1,3
12,1,240.78,1,18,1,3,0
32,4,24.162,2,28,4,17,0
12,1,8.73,1,24,1,3,4
25,0,60.95,2,1,0,3,0
25,0,45.79,2,1,0,2,0
14,1,431.81,2,24,1,4,4
18,0,0.0,2,8,0,2,3
39,5,272.4,2,29,5,42,3
40,5,291.0,2,29,5,13,3
20,0,27.85,2,8,0,1,3
0,0,11.74,2,10,0,1,0
7,1,11.42,2,15,1,3,0
41,5,35.0,1,29,5,3,3
31,0,0.0,1,8,0,9,3
39,5,0.0,2,29,5,8,3
5,1,10.89,1,11,1,1,4
19,0,35.99,2,8,0,1,3
26,0,104.0,1,8,0,2,3
23,0,247.75,0,8,0,9,3
23,0,169.0,0,8,0,7,3
20,0,10.78,1,0,0,1,0
43,0,36.5,1,8,0,1,3
39,5,0.0,1,29,5,48,3
27,0,24.91,1,8,0,1,3
25,0,0.0,2,8,0,6,3
22,3,5.22,2,25,3,2,1
17,2,9.69,2,26,2,31,1
2,0,114.75,1,8,0,6,3
10,1,5.36,1,12,1,7,0
12,1,42.61,2,24,1,7,4
17,2,0.09,1,26,2,4,1
27,0,60.08,1,8,0,2,3
9,1,19.0,1,18,1,5,0
34,0,0.0,2,8,0,1,3
31,0,0.0,1,8,0,5,3
35,0,103.8,2,8,0,3,3
27,0,37.4,2,8,0,2,3
25,0,6.74,2,8,0,1,3
29,0,68.23,2,8,0,3,3
23,0,105.0,0,8,0,4,3
3,0,134.91,2,8,0,5,3
35,0,973.7,2,8,0,22,3
20,0,0.0,2,0,0,8,0
8,1,1.0,1,14,1,1,4
27,0,83.23,2,8,0,8,3
19,0,97.94,2,8,0,4,3
21,0,773.5,2,8,0,28,3
20,0,214.0,2,8,0,9,3
30,0,27.22,2,3,0,1,0
0,0,24.0,2,10,0,1,0
27,0,80.59,0,8,0,3,3
23,0,169.0,0,8,0,7,3
26,0,168.8,2,8,0,4,3
24,0,13.92,2,8,0,2,3
3,0,19.46,2,8,0,1,3
20,0,10.91,0,0,0,1,0
28,0,0.0,2,8,0,3,3
26,0,80.65,2,8,0,2,3
35,0,2.12,2,8,0,1,3
28,0,556.03,2,8,0,13,3
24,0,13.42,0,8,0,1,3
23,0,0.0,2,8,0,1,3
27,0,211.13,2,8,0,4,3
43,0,0.0,2,8,0,5,3
24,0,161.13,2,8,0,7,3
24,0,0.0,2,8,0,1,3
17,2,0.35,0,26,2,22,1
29,0,69.0,2,8,0,2,3
18,0,15.0,2,4,0,1,0
31,0,163.0,2,9,0,5,3
26,0,33.94,2,8,0,2,3
26,0,2.22,1,8,0,1,3
3,0,4.25,2,8,0,1,3
24,0,71.64,0,8,0,3,3
1,0,0.0,1,8,0,10,3
43,0,95.0,1,8,0,3,3
35,0,255.0,1,8,0,6,3
23,0,82.15,0,8,0,2,3
27,0,76.13,0,8,0,2,3
30,0,199.84,1,3,0,5,0
35,0,3.27,2,8,0,1,3
24,0,11.0,1,8,0,1,3
20,0,420.82,1,0,0,14,0
35,0,117.12,2,8,0,4,3
24,0,0.0,2,8,0,3,3
29,0,0.0,1,8,0,7,3
43,0,153.74,2,8,0,5,3
26,0,30.72,1,8,0,2,3
25,0,0.0,1,8,0,4,3
26,0,1.92,2,8,0,1,3
9,1,15.0,1,18,1,9,0
34,0,39.75,0,8,0,1,3
25,0,0.0,1,1,0,1,0
26,0,67.98,0,8,0,2,3
24,0,18.0,1,8,0,1,3
34,0,0.0,2,8,0,14,3
43,0,15.0,2,8,0,1,3
35,0,81.62,2,8,0,3,3
30,0,0.0,1,0,0,14,0
20,0,420.82,1,0,0,14,0
35,0,27.63,2,8,0,1,3
35,0,144.63,2,8,0,5,3
2,0,582.09,1,8,0,15,3
30,0,0.0,1,3,0,14,0
20,0,420.82,1,0,0,14,0
34,0,0.0,1,8,0,6,3
29,0,19.0,1,8,0,1,3
29,0,8.45,2,8,0,1,3
21,0,582.09,1,8,0,15,3
43,0,59.0,2,8,0,3,3
12,1,126.33,0,24,1,4,4
12,1,18.79,1,24,1,1,4
16,1,202.41,0,23,1,8,4
12,1,208.98,0,24,1,4,4
12,1,153.0,0,24,1,4,4
8,1,21.2,2,20,1,3,4
20,0,420.82,1,0,0,14,0
3,0,416.76,1,8,0,13,3
24,0,55.0,1,8,0,2,3
23,0,25.31,2,8,0,4,3
27,0,0.0,2,8,0,3,3
16,1,97.84,0,23,1,8,4
35,0,0.0,0,8,0,4,3
30,0,0.0,1,0,0,14,0
16,1,161.76,0,23,1,8,4
16,1,161.76,0,23,1,8,4
16,1,161.76,0,23,1,8,4
12,1,126.33,0,24,1,4,4
16,1,97.84,0,23,1,8,4
16,1,97.84,0,23,1,8,4
12,1,126.33,0,24,1,4,4
12,1,153.0,0,24,1,3,4
12,1,153.0,0,24,1,3,4
35,0,58.59,2,8,0,2,3
20,0,420.82,1,0,0,14,0
25,0,112.7,1,1,0,5,0
30,0,0.0,1,3,0,3,0
26,0,7.7,2,8,0,1,3
8,1,21.58,2,20,1,3,4
28,0,22.69,2,8,0,1,3
16,1,175.34,0,23,1,7,4
26,0,53.14,1,8,0,2,3
34,0,0.0,2,8,0,4,3
23,0,297.65,1,8,0,7,3
35,0,100.0,1,8,0,4,3
16,1,1.94,2,24,1,1,4
0,0,8.71,2,10,0,1,0
26,0,7.0,1,8,0,7,3
0,0,7.95,2,10,0,1,0
26,0,6.54,2,8,0,1,3
24,0,59.99,0,8,0,2,3
29,0,47.5,2,8,0,1,3
28,0,140.0,1,8,0,4,3
3,0,64.88,0,8,0,3,3
24,0,0.0,2,8,0,1,3
27,0,106.09,0,8,0,5,3
23,0,128.92,2,8,0,3,3
24,0,0.0,2,8,0,1,3
26,0,15.2,1,8,0,2,3
3,0,64.88,0,8,0,3,3
24,0,0.0,2,8,0,1,3
29,0,13.49,2,8,0,1,3
21,0,395.22,2,8,0,6,3
25,0,137.22,1,1,0,8,0
34,0,8.29,1,8,0,1,3
12,1,54.11,1,24,1,6,4
35,0,465.22,0,8,0,24,3
20,0,14.98,1,0,0,1,0
3,0,64.88,0,8,0,3,3
34,0,68.0,2,8,0,2,3
26,0,142.23,2,8,0,5,3
28,0,176.0,2,8,0,5,3
21,0,6.87,2,8,0,1,3
24,0,0.0,0,8,0,5,3
30,0,0.0,0,3,0,2,0
20,0,5.9,1,0,0,1,0
34,0,0.0,1,8,0,1,3
16,1,8.39,1,23,1,1,4
43,0,9.33,1,8,0,1,3
29,0,137.02,0,8,0,7,3
34,0,17.53,1,8,0,1,3
24,0,66.15,0,8,0,3,3
39,5,0.04,2,29,5,8,3
1,0,367.62,0,8,0,16,3
26,0,81.5,0,8,0,3,3
43,0,26.37,1,8,0,3,3
21,0,9.96,2,8,0,1,3
8,1,22.02,2,20,1,6,4
43,0,32.18,1,8,0,2,3
28,0,47.0,2,8,0,3,3
27,0,6.92,1,8,0,1,3
25,0,40.92,1,0,0,1,0
23,0,169.0,0,8,0,7,3
25,0,46.54,1,0,0,1,0
23,0,169.0,0,8,0,7,3
43,0,36.5,1,8,0,1,3
12,1,61.23,2,24,1,9,4
29,0,277.0,1,8,0,7,3
35,0,177.0,2,8,0,5,3
21,0,303.0,1,8,0,8,3
26,0,242.17,2,8,0,6,3
28,0,0.0,2,8,0,2,3
26,0,2.5,2,8,0,1,3
43,0,0.0,2,8,0,1,3
28,0,0.0,2,8,0,2,3
2,0,176.28,1,8,0,4,3
26,0,63.0,1,8,0,2,3
23,0,137.68,0,8,0,5,3
25,0,17.15,2,10,0,1,0
18,0,113.64,2,4,0,3,0
43,0,30.14,1,8,0,3,3
26,0,64.36,2,8,0,2,3
24,0,81.25,1,8,0,3,3
20,0,63.35,0,0,0,4,0
25,0,0.0,2,1,0,4,0
23,0,166.95,0,8,0,6,3
3,0,64.88,0,8,0,3,3
23,0,166.95,0,8,0,6,3
23,0,137.68,0,8,0,5,3
23,0,166.95,0,8,0,6,3
23,0,166.95,0,8,0,6,3
23,0,166.95,0,8,0,6,3
28,0,231.42,2,8,0,4,3
23,0,105.0,0,8,0,4,3
30,0,247.0,2,3,0,6,0
29,0,70.0,2,8,0,2,3
43,0,64.4,2,8,0,2,3
25,0,58.73,1,1,0,2,0
29,0,22.21,2,8,0,1,3
26,0,239.91,2,8,0,6,3
28,0,0.0,2,8,0,2,3
3,0,64.88,0,8,0,3,3
23,0,105.0,0,8,0,4,3
23,0,137.68,0,8,0,5,3
23,0,137.68,0,8,0,5,3
23,0,137.68,0,8,0,5,3
23,0,169.0,0,8,0,7,3
23,0,105.0,0,8,0,4,3
23,0,137.68,0,8,0,5,3
25,0,0.0,2,1,0,5,0
8,1,9.4,1,12,1,8,0
26,0,64.36,2,8,0,2,3
34,0,74.7,2,8,0,2,3
37,5,40.0,2,29,5,8,3
43,0,13.86,2,8,0,1,3
35,0,83.01,2,8,0,2,3
20,0,1.0,0,9,0,6,3
26,0,23.0,2,8,0,1,3
24,0,0.0,2,8,0,4,3
4,1,7.76,1,22,1,3,4
26,0,35.0,2,8,0,2,3
20,0,0.0,2,1,0,3,0
25,0,121.56,2,8,0,5,3
1,0,0.0,2,8,0,2,3
35,0,0.0,2,8,0,2,3
27,0,300.0,2,8,0,4,3
29,0,66.48,2,8,0,3,3
2,0,176.28,1,8,0,4,3
20,0,32.56,1,8,0,1,3
23,0,367.0,2,8,0,7,3
20,0,28.88,1,8,0,1,3
21,0,57.37,2,8,0,7,3
34,0,0.0,2,8,0,2,3
35,0,0.0,0,8,0,4,3
3,0,90.0,0,8,0,4,3
26,0,42.6,2,8,0,3,3
26,0,42.6,2,30,6,3,2
28,0,31.74,2,3,0,2,0
23,0,105.0,0,8,0,4,3
23,0,169.0,0,8,0,7,3
23,0,105.0,0,8,0,4,3
23,0,169.0,0,8,0,7,3
12,1,209.0,1,24,1,2,4
24,0,15.62,2,8,0,1,3
34,0,45.0,2,8,0,2,3
35,0,18.3,1,8,0,1,3
26,0,56.0,1,8,0,1,3
0,0,8.75,2,10,0,1,0
3,0,64.88,0,8,0,3,3
20,0,4.63,1,0,0,1,0
21,0,14.93,2,8,0,1,3
35,0,465.22,0,8,0,24,3
1,0,367.62,0,8,0,16,3
28,0,332.43,2,3,0,10,0
26,0,5.03,2,7,0,1,3
34,0,41.59,2,8,0,1,3
26,0,42.6,2,8,0,3,3
1,0,23.85,2,8,0,1,3
23,0,166.95,0,8,0,6,3
26,0,55.0,1,8,0,1,3
3,0,7.74,0,8,0,1,3
24,0,55.0,1,8,0,1,3
29,0,253.66,1,8,0,4,3
20,0,41.61,1,0,0,2,0
24,0,16.34,0,8,0,1,3
26,0,14.56,2,8,0,1,3
1,0,92.0,2,8,0,2,3
31,0,398.31,1,8,0,9,3
28,0,243.0,2,8,0,5,3
27,0,64.12,2,8,0,2,3
21,0,72.0,2,8,0,2,3
24,0,6.73,2,8,0,1,3
28,0,64.12,2,8,0,2,3
29,0,207.65,1,8,0,4,3
23,0,26.0,2,8,0,1,3
43,0,13.14,2,8,0,1,3
24,0,34.37,2,8,0,1,3
23,0,50.0,2,8,0,2,3
15,1,98.39,1,21,1,6,4
35,0,20.0,2,8,0,1,3
35,0,5.5,2,8,0,1,3
34,0,58.12,2,8,0,2,3
23,0,50.0,2,8,0,2,3
28,0,64.12,2,8,0,2,3
25,0,0.0,2,1,0,2,0
24,0,62.51,2,8,0,2,3
34,0,48.96,2,8,0,1,3
23,0,3.31,2,7,0,1,3
21,0,77.01,2,8,0,2,3
29,0,76.81,2,8,0,2,3
25,0,22.92,2,8,0,1,3
26,0,129.1,2,8,0,3,3
24,0,25.2,2,8,0,1,3
34,0,0.0,2,8,0,1,3
21,0,59.0,2,8,0,2,3
34,0,0.0,1,8,0,1,3
16,1,4.75,2,23,1,1,4
12,1,20.18,1,24,1,1,4
12,1,35.0,2,24,1,3,4
16,1,25.55,2,23,1,2,4
21,0,45.1,2,8,0,2,3
24,0,104.0,2,8,0,3,3
36,5,3.0,2,29,5,1,3
27,0,0.0,2,8,0,1,3
26,0,0.0,2,8,0,2,3
23,0,211.44,1,8,0,5,3
25,0,105.37,1,1,0,3,0
34,0,23.42,2,8,0,1,3
29,0,0.0,2,8,0,2,3
28,0,71.88,2,8,0,2,3
43,0,114.89,2,8,0,4,3
26,0,0.0,2,8,0,2,3
20,0,31.43,1,8,0,1,3
35,0,253.53,2,8,0,6,3
35,0,253.53,2,8,0,6,3
24,0,0.0,2,8,0,1,3
26,0,0.0,1,8,0,1,3
29,0,33.38,2,8,0,2,3
35,0,60.37,2,8,0,2,3
21,0,124.66,2,8,0,5,3
43,0,60.68,2,8,0,2,3
27,0,56.71,2,8,0,2,3
12,1,68.58,1,24,1,2,4
35,0,6.0,2,8,0,1,3
18,0,126.66,2,4,0,3,0
27,0,64.57,2,8,0,1,3
12,1,6.0,2,24,1,1,4
25,0,79.66,1,8,0,3,3
26,0,0.0,1,8,0,3,3
34,0,220.64,0,8,0,7,3
30,0,101.27,2,3,0,4,0
35,0,129.19,2,8,0,12,3
24,0,20.73,2,8,0,2,3
0,0,10.64,2,10,0,1,0
24,0,10.0,1,8,0,2,3
34,0,13.33,2,8,0,1,3
20,0,11.23,2,0,0,1,0
24,0,2.11,2,8,0,1,3
23,0,228.0,2,8,0,20,3
23,0,4.0,2,8,0,1,3
35,0,22.11,2,8,0,1,3
2,0,0.0,2,8,0,2,3
29,0,563.54,2,8,0,17,3
18,0,28.58,2,4,0,3,0
20,0,27.02,0,0,0,2,0
35,0,17.0,0,8,0,1,3
29,0,99.0,2,8,0,4,3
26,0,241.81,0,8,0,9,3
34,0,347.19,0,8,0,7,3
35,0,524.0,2,8,0,9,3
8,1,3.75,1,12,1,2,0
8,1,4.01,1,12,1,2,0
23,0,64.99,0,8,0,3,3
24,0,33.0,2,8,0,1,3
30,0,0.0,2,8,0,1,3
27,0,67.79,2,8,0,2,3
3,0,74.26,2,8,0,3,3
29,0,10.04,2,8,0,1,3
3,0,2.76,2,8,0,1,3
2,0,129.28,2,8,0,3,3
35,0,77.52,2,8,0,3,3
25,0,0.0,2,8,0,2,3
29,0,8.11,2,8,0,1,3
34,0,0.0,2,8,0,1,3
28,0,2.65,2,8,0,1,3
23,0,14.33,2,8,0,1,3
25,0,1.6,2,0,0,1,0
21,0,109.0,2,8,0,3,3
24,0,0.001,2,8,0,4,3
30,0,127.0,2,8,0,5,3
25,0,0.0,2,0,0,5,0
25,0,11.26,1,8,0,1,3
29,0,192.84,2,8,0,6,3
18,0,43.71,1,5,0,4,0
24,0,0.001,2,8,0,4,3
20,0,33.72,1,8,0,1,3
43,0,0.001,2,8,0,13,3
21,0,28.04,2,8,0,7,3
16,1,1.04,1,24,1,2,4
26,0,347.19,0,8,0,7,3
34,0,347.19,0,8,0,7,3
27,0,347.19,0,8,0,7,3
23,0,38.0,2,8,0,2,3
0,0,2.93,2,10,0,1,0
29,0,2.74,2,8,0,1,3
37,5,0.0,2,29,5,2,3
8,1,96.96,1,12,1,11,0
34,0,24.8,2,8,0,1,3
12,1,58.57,1,24,1,2,4
24,0,23.26,2,8,0,1,3
29,0,12.4,2,8,0,1,3
27,0,208.19,0,8,0,7,3
29,0,19.25,2,8,0,1,3
26,0,39.64,1,8,0,1,3
27,0,5.61,2,8,0,1,3
28,0,79.3,2,8,0,3,3
23,0,86.0,2,8,0,4,3
18,0,25.44,2,5,0,1,0
34,0,107.51,2,8,0,3,3
3,0,73.8,2,8,0,2,3
21,0,384.3,2,8,0,11,3
2,0,0.0,2,8,0,6,3
26,0,92.0,2,8,0,3,3
26,0,347.19,0,8,0,7,3
12,1,108.12,1,24,1,1,4
25,0,90.24,1,8,0,3,3
28,0,301.04,2,8,0,8,3
18,0,90.89,2,8,0,6,3
2,0,0.0,2,8,0,6,3
23,0,1.48,2,8,0,1,3
12,1,108.12,1,24,1,1,4
21,0,45.0,2,8,0,1,3
27,0,0.0,2,8,0,2,3
26,0,5.91,2,8,0,1,3
24,0,38.0,0,8,0,2,3
0,0,0.94,2,8,0,1,3
21,0,60.0,2,8,0,1,3
23,0,28.96,2,8,0,2,3
1,0,19.91,2,8,0,1,3
28,0,38.94,2,8,0,1,3
3,0,19.68,2,8,0,1,3
35,0,712.0,2,8,0,29,3
43,0,206.22,2,8,0,4,3
12,1,64.19,2,24,1,1,4
23,0,137.52,2,8,0,4,3
16,1,109.0,2,23,1,2,4
12,1,63.85,2,24,1,3,4
30,0,86.9,2,3,0,4,0
28,0,25.0,2,8,0,1,3
26,0,85.0,1,8,0,3,3
11,1,44.85,2,15,1,3,0
21,0,105.0,2,8,0,3,3
34,0,232.0,1,8,0,7,3
23,0,0.0,2,8,0,6,3
29,0,84.65,2,8,0,3,3
34,0,0.0,2,8,0,3,3
21,0,19.2,2,8,0,2,3
35,0,249.0,2,8,0,7,3
24,0,463.0,2,8,0,10,3
28,0,46.53,2,8,0,2,3
43,0,285.9,2,8,0,10,3
38,5,137.0,2,29,5,10,3
23,0,0.0,2,8,0,1,3
35,0,7.44,2,8,0,1,3
29,0,22.55,2,8,0,1,3
6,1,3.46,1,12,1,2,0
29,0,8.9,2,8,0,1,3
29,0,48.13,2,8,0,1,3
35,0,9.58,2,8,0,1,3
34,0,0.0,2,8,0,1,3
27,0,72.24,2,8,0,5,3
15,1,28.0,2,21,1,1,4
23,0,0.0,2,8,0,3,3
29,0,26.0,2,8,0,1,3
3,0,2.98,2,8,0,1,3
26,0,0.0,0,8,0,1,3
20,0,38.34,1,0,0,2,0
35,0,27.75,2,7,0,1,3
24,0,97.0,2,8,0,3,3
3,0,74.44,1,8,0,2,3
27,0,0.0,2,8,0,1,3
35,0,5.26,1,8,0,1,3
26,0,40.44,2,8,0,1,3
35,0,22.23,2,8,0,1,3
12,1,101.13,1,24,1,2,4
24,0,71.0,2,8,0,2,3
23,0,268.01,2,8,0,7,3
21,0,262.7,2,8,0,7,3
34,0,164.59,2,8,0,4,3
24,0,12.2,2,8,0,1,3
29,0,193.28,2,8,0,7,3
3,0,75.19,2,7,0,4,3
10,1,63.8,2,19,1,6,0
24,0,15.17,0,8,0,1,3
27,0,44.0,1,8,0,1,3
23,0,0.0,2,8,0,5,3
3,0,0.0,2,8,0,1,3
28,0,11.3,0,8,0,1,3
